コード,名称,業種,市場
MPC,マラソン・ペトロリアム (Marathon Petroleum),エネルギー,S&P500
MPWR,モノリシック・パワー・システムズ (Monolithic Power Systems Inc),情報技術,Nasdaq
MRAM,エバースピン・テクノロジーズ (Everspin Technologies Inc),情報技術,Nasdaq
MRC,エムアールシー・グローバル (MRC Global Inc),エネルギー,NYSE
MRCY,マーキュリー・システムズ (Mercury Systems Inc),情報技術,Nasdaq
MRIN,マリン・ソフトウェア (Marin Software Incorporated),情報技術,Nasdaq
MRK,メルク (Merck & Co.),ヘルスケア,NYダウ S&P500
MRKR,タップイミューン (Marker Therapeutics Inc),ヘルスケア,Nasdaq
MRLN,マーリン・ビジネス・サービシズ (Marlin Business Services Corp),金融,Nasdaq
MRNA,"モデルナ (Moderna, Inc)",ヘルスケア,Nasdaq
MRNS,マリナス・ファーマシューティカルズ (Marinus Pharmaceuticals Inc),ヘルスケア,Nasdaq
MRO,マラソン・オイル (Marathon Oil Corp.),エネルギー,S&P500
MRSN,メルサナ・セラピューティクス (Mersana Therapeutics Inc),ヘルスケア,Nasdaq
MRTN,マーテン・トランスポート (Marten Transport Ltd),資本財,Nasdaq
MRTX,ミラティ・セラピューティクス (Mirati Therapeutics Inc),ヘルスケア,Nasdaq
MRVL,マーベル・テクノロジー・グループ (Marvell Technology Group Ltd),情報技術,Nasdaq
MS,モルガン・スタンレー (Morgan Stanley),金融,S&P500
MSA,マイン・セーフティー・アプライアンシズ (MSA Safety Incorporated),資本財,NYSE
MSBI,ミッドランド・ステーツ・バンコープ (Midland States Bancorp Inc),金融,Nasdaq
MSCI,MSCI (MSCI Inc),金融,S&P500
MSEX,ミドルセックス・ウォーター (Middlesex Water Company),公益事業,Nasdaq
MSFT,マイクロソフト (Microsoft Corp.),情報技術,NYダウ Nasdaq S&P500
MSGN,MSGネットワークス (MSG Networks Inc),一般消費財,NYSE
MSI,モトローラ・ソリューションズ (Motorola Solutions Inc.),情報技術,S&P500
MSM,エムエスシー・インダストリアル・ダイレクト クラスA (MSC Industrial Direct Co. Inc),資本財,NYSE
MSON,ミソニックス (Misonix Inc),ヘルスケア,Nasdaq
MSTR,マイクロストラテジー クラスA (MicroStrategy Incorporated),情報技術,Nasdaq
MT,アルセロール・ミタル (ArcelorMittal),素材,NYSE
MTB,M&Tバンク (M&T Bank Corp.),金融,S&P500
MTBC,"MTBC (MTBC, Inc)",ヘルスケア,Nasdaq
MTCH,マッチ・グループ (Match Group Inc),情報技術,Nasdaq
MTD,メトラー・トレド・インターナショナル (Mettler Toledo),ヘルスケア,S&P500
MTDR,マタドール・リソーシズ (Matador Resources Company),エネルギー,NYSE
MTEM,モレキュラー・テンプレーツ (Molecular Templates Inc),ヘルスケア,Nasdaq
MTEX,マンナテック (Mannatech Incorporated),生活必需品,Nasdaq
MTG,エムジーアイシー・インベストメント (MGIC Investment Corporation),金融,NYSE
MTH,メリテージ・ホームズ (Meritage Homes Corporation),一般消費財,NYSE
MTL,メケル (Mechel PAO),素材,NYSE
MTN,ベイル・リゾーツ (Vail Resorts Inc),一般消費財,NYSE
MTOR,メリター (Meritor Inc),一般消費財,NYSE
MTRN,マテリオン (Materion Corporation),素材,NYSE
MTRX,マトリクス・サービス (Matrix Service Company),エネルギー,Nasdaq
MTSC,エムティーエス・システムズ (MTS Systems Corporation),情報技術,Nasdaq
MTSI,エムエー・コム・テクノロジー・ソリューションズ・ホールディングス (MACOM Technology Solutions Holdings Inc),情報技術,Nasdaq
MTW,マニトウォック・カンパニー (The Manitowoc Company Inc),資本財,NYSE
MTX,ミネラルズ・テクノロジーズ (Minerals Technologies Inc),素材,NYSE
MTZ,マステック (MasTec Inc),資本財,NYSE
MU,マイクロン・テクノロジー (Micron Technology),情報技術,Nasdaq S&P500
MUR,マーフィー・オイル (Murphy Oil Corporation),エネルギー,NYSE
MUSA,マーフィーＵＳＡ (Murphy USA Inc),一般消費財,NYSE
MUX,マキュアン・マイニング (McEwen Mining Inc),素材,NYSE
MVBF,MVBフィナンシャル (MVB Financial Corp),金融,Nasdaq
MVIS,マイクロビジョン (MicroVision Inc),情報技術,Nasdaq
MWA,ミューラー・ウォーター・プロダクツ クラスA (Mueller Water Products Inc),資本財,NYSE
MX,マグナチップ・セミコンダクター (MagnaChip Semiconductor Corporation),情報技術,NYSE
MXI,iShares Global Materials ETF (iShares Global Materials ETF),,
MXIM,マキシム・インテグレーテッド・プロダクツ (Maxim Integrated Products Inc),情報技術,Nasdaq
MXL,マックスリニア クラスA (MaxLinear Inc),情報技術,NYSE
MYE,マイヤーズ・インダストリーズ (Myers Industries Inc),一般消費財,NYSE
MYGN,ミリアド・ジェネティクス (Myriad Genetics Inc),ヘルスケア,Nasdaq
MYL,マイラン (Mylan N.V.),ヘルスケア,Nasdaq S&P500
MYOK,マイオカーディア (MyoKardia Inc),ヘルスケア,Nasdaq
MYOS,マイオス・レンズ・テクノロジー (MYOS RENS Technology Inc),ヘルスケア,Nasdaq
MYOV,マイオバント・サイエンシズ (Myovant Sciences Ltd),ヘルスケア,NYSE
MYRG,エムワイアール・グループ (MYR Group Inc),資本財,Nasdaq
NAII,ナチュラル・オルタナティブズ・インターナショナル (Natural Alternatives International Inc),生活必需品,Nasdaq
NAK,ノーザン・ダイナスティ・ミネラルズ (Northern Dynasty Minerals Ltd),素材,
NAT,ノルディック・アメリカン・タンカーズ (Nordic American Tankers Limited),エネルギー,NYSE
NATH,ネーサンズ・フェイマス (Nathans Famous Inc),一般消費財,Nasdaq
NATI,ナショナル・インストゥルメンツ (National Instruments Corporation),情報技術,Nasdaq
NATR,ネイチャーズ・サンシャイン・プロダクツ (Natures Sunshine Products Inc),生活必需品,Nasdaq
NAV,ナビスター・インターナショナル (Navistar International Corporation),資本財,NYSE
NAVB,ナビディア・バイオファーマシューティカルズ (Navidea Biopharmaceuticals Inc),ヘルスケア,NYSE
NAVI,ナビエント・コーポレーション (Navient Corporation),金融,Nasdaq
NBEV,ニューエイジ・ビバレッジズ (New Age Beverages Corporation),生活必需品,Nasdaq
NBHC,ナショナルバンク　ホールディングス (National Bank Holdings Corporation),金融,NYSE
NBIX,ニューロクライン・バイオサイエンシズ (Neurocrine Biosciences Inc),ヘルスケア,Nasdaq
NBL,ノーブル・エナジー (Noble Energy),エネルギー,Nasdaq S&P500
NBR,ネイバーズ・インダストリーズ (Nabors Industries Ltd),エネルギー,NYSE
NBSE,"オール・ファーマシューティカル (NeuBase Therapeutics, Inc)",ヘルスケア,Nasdaq
NBTB,エヌビーティー・バンコープ (NBT Bancorp Inc),金融,Nasdaq
NC,ナッコ・インダストリーズ クラスA (NACCO Industries Inc),素材,NYSE
NCBS,"ニコレット・バンクシェアーズ (Nicolet Bankshares, Inc)",金融,Nasdaq
NCLH,ノルウェージャン・クルーズ・ライン・ホールディングス (Norwegian Cruise Line Holdings),一般消費財,S&P500
NCMI,ナショナル・シネメディア (National CineMedia Inc),一般消費財,Nasdaq
NCR,エヌシーアール・コーポレーション (NCR Corporation),情報技術,NYSE
NCTY,第九城市(ザ９) (The9 Limited),電気通信,Nasdaq
NDAQ,"ナスダック (Nasdaq, Inc.)",金融,Nasdaq S&P500
NDLS,ヌードルズ (Noodles & Company),一般消費財,Nasdaq
NDSN,ノードソン (Nordson Corporation),資本財,Nasdaq
NE,ノーブル (Noble Corporation plc),エネルギー,NYSE
NEE,ネクステラ・エナジー (NextEra Energy),公益事業,S&P500
NEM,ニューモント・マイニング (Newmont Corporation),素材,S&P500
NEO,ネオゲノミクス (NeoGenomics Inc),ヘルスケア,Nasdaq
NEOG,ネオゲン (Neogen Corporation),ヘルスケア,Nasdaq
NEON,ネオノード (Neonode Inc),情報技術,Nasdaq
NEOS,ネオス・セラピューティクス (Neos Therapeutics Inc),ヘルスケア,Nasdaq
NEP,ネクストエラ・エナジー・パートナーズ (NextEra Energy Partners LP),公益事業,NYSE
NERV,ミネルバ・ニューロサイエンシズ (Minerva Neurosciences Inc),ヘルスケア,Nasdaq
NESR,NationalEnergyServicesReu (National Energy Services Reunited Corp),エネルギー,Nasdaq
NET,"CloudflareInc (Cloudflare, Inc)",情報技術,NYSE
NETE,ネット・エレメント (Net Element Inc),情報技術,Nasdaq
NEU,ニューマーケット (NewMarket Corporation),素材,NYSE
NEW,プーシン (Puxin Limited),一般消費財,NYSE
NEWR,ニュー・レリック (New Relic Inc),情報技術,NYSE
NEWT,ニューテク・ビジネス・サービシズ (Newtek Business Services Corp),金融,Nasdaq
NEX,ネクスティア・オイルフィールド・ソリューションズ (NexTier Oilfield Solutions Inc),エネルギー,NYSE
NEXT,ネクストデケード (NextDecade Corporation),エネルギー,Nasdaq
NFBK,ノースフィールド・バンコープ (Northfield Bancorp Inc. (Staten Island NY)),金融,Nasdaq
NFE,NewFortressEnergyLLC (New Fortress Energy LLC),エネルギー,Nasdaq
NFG,ナショナル・フュエル・ガス (National Fuel Gas Company),エネルギー,NYSE
NFLX,ネットフリックス (Netflix Inc.),電気通信,Nasdaq S&P500
NG,ノバゴールド・リソーシズ (NovaGold Resources Inc),素材,NYSE
NGD,ニュー・ゴールド (New Gold Inc),素材,
NGG,ナショナル・グリッド (National Grid plc),公益事業,NYSE
NGHC,ナショナル・ジェネラル・ホールディングス (National General Holdings Corp),金融,Nasdaq
NGM,"NGMBiopharmaceuticalsInc (NGM Biopharmaceuticals, Inc)",ヘルスケア,Nasdaq
NGS,ナチュラル・ガス・サービシズ・グループ (Natural Gas Services Group Inc),エネルギー,NYSE
NGVC,ナチュラル・グローサーズ・バイ・ビタミン・コテージ (Natural Grocers by Vitamin Cottage Inc),生活必需品,NYSE
NGVT,インジェビティ (Ingevity Corporation),素材,NYSE
NH,ナント・ヘルス (NantHealth Inc),情報技術,Nasdaq
NHC,ナショナル・ヘルスケア (National HealthCare Corporation),ヘルスケア,NYSE
NHTC,ナチュラル・ヘルス・トレンズ (Natural Health Trends Corp),生活必需品,Nasdaq
NI,ナイソース (NiSource Inc.),公益事業,S&P500
NIB,iPath Bloomberg Cocoa Subindex Total Return(SM) ET (iPath Bloomberg Cocoa Subindex Total Return(SM) ET),,
NICE,ナイス (NICE Ltd),情報技術,Nasdaq
NIO,ニオ (NIO Inc),一般消費財,NYSE
NIU,ニウ・テクノロジーズ (Niu Technologies),一般消費財,Nasdaq
NJR,ニュージャージー・リソーシズ (New Jersey Resources Corporation),公益事業,NYSE
NK,ナントクエスト (NantKwest Inc),ヘルスケア,Nasdaq
NKE,"ナイキ (Nike, Inc.)",一般消費財,NYダウ S&P500
NKSH,ナショナル・バンクシェアーズ (National Bankshares Inc),金融,Nasdaq
NKTR,ネクター・セラピューティクス (Nektar Therapeutics),ヘルスケア,Nasdaq S&P500
NL,エヌエル・インダストリーズ (NL Industries Inc),資本財,NYSE
NLOK,ノートンライフロック (NortonLifeLock),情報技術,Nasdaq
NLR,VanEck Vectors Uranium+Nuclear Energy ETF (VanEck Vectors Uranium+Nuclear Energy ETF),,
NLS,ノーチラス･グループ (Nautilus Inc),一般消費財,NYSE
NLSN,ニールセン (Nielsen Holdings),資本財,S&P500
NLTX,"ネオロイキン・ファーマシューティカルズ (Neoleukin Therapeutics, Inc)",ヘルスケア,Nasdaq
NMFC,ニュー・マウンテン・ファイナンス (New Mountain Finance Corporation),金融,NYSE
NMIH,"NMIホールディングス (NMI Holdings, Inc)",金融,Nasdaq
NMRK,ニューマーク・グループ　クラスA (Newmark Group Inc),不動産,Nasdaq
NNBR,エヌエヌ (NN Inc),資本財,Nasdaq
NNI,ネルネット クラスA (Nelnet Inc),金融,NYSE
NNVC,ナノビリサイズ (NanoViricides Inc),ヘルスケア,NYSE
NOAH,ノア・ホールディングス (Noah Holdings Limited),金融,NYSE
NOC,ノースロップ・グラマン (Northrop Grumman),資本財,S&P500
NODK,"NIHoldingsInc (NI Holdings, Inc)",金融,Nasdaq
NOG,ノーザン・オイル・アンド・ガス (Northern Oil and Gas Inc),エネルギー,NYSE
NOK,ノキア (Nokia Corporation),情報技術,NYSE
NOV,ナショナル・オイルウェル・バルコ (National Oilwell Varco Inc.),エネルギー,S&P500
NOVA,SunnovaEnergyInternational (Sunnova Energy International Inc),公益事業,NYSE
NOVN,ノバン (Novan Inc),ヘルスケア,Nasdaq
NOVT,ノヴァンタ (Novanta Inc),情報技術,Nasdaq
NOW,サービスナウ (ServiceNow),情報技術,NYSE
NP,ニーナ・ペーパー (Neenah Inc),素材,NYSE
NPK,ナショナル・プレスト・インダストリーズ (National Presto Industries Inc),資本財,NYSE
NPO,エンプロ・インダストリーズ (EnPro Industries Inc),資本財,NYSE
NPTN,ネオフォトニクス (NeoPhotonics Corporation),情報技術,NYSE
NR,ニューパーク・リソーシズ (Newpark Resources Inc),エネルギー,NYSE
NRBO,"ニューロボ・ファーマシューティカルズ (NeuroBo Pharmaceuticals, Inc)",ヘルスケア,Nasdaq
NRC,ナショナル・リサーチ (National Research Corporation),ヘルスケア,Nasdaq
NRG,NRGエナジー (NRG Energy),公益事業,S&P500
NRIM,ノースリム・バンコープ (Northrim BanCorp Inc),金融,Nasdaq
NSC,ノーフォーク・サザン (Norfolk Southern Corp.),資本財,S&P500
NSIT,インサイト・エンタープライシズ (Insight Enterprises Inc),情報技術,Nasdaq
NSP,インスペリティ (Insperity Inc),資本財,NYSE
NSSC,ナプコ・セキュリティ・テクノロジーズ (Napco Security Technologies Inc),資本財,Nasdaq
NSTG,ナノストリング・テクノロジーズ (NanoString Technologies Inc),ヘルスケア,Nasdaq
NTAP,ネットアップ (NetApp),情報技術,Nasdaq S&P500
NTB,バンク・オブ・エヌティー・バターフィールド&サン (The Bank of N.T. Butterfield & Son Limited),金融,NYSE
NTCT,ネットスカウト・システムズ (NetScout Systems Inc),情報技術,Nasdaq
NTES,ネットイーズ (NetEase Inc),情報技術,Nasdaq
NTGR,ネットギア (NETGEAR Inc),情報技術,Nasdaq
NTLA,インテリア・セラピューティクス (Intellia Therapeutics Inc),ヘルスケア,Nasdaq
NTNX,ニュータニックス　クラスA (Nutanix Inc),情報技術,Nasdaq
NTP,ナム・タイ・プロパティ (Nam Tai Property Inc),不動産,NYSE
NTR,ナタリ (Nutrien Ltd),素材,NYSE
NTRA,ナテラ (Natera Inc),ヘルスケア,Nasdaq
NTRS,ノーザン・トラスト (Northern Trust Corp.),金融,Nasdaq S&P500
NTUS,ネイタス・メディカル (Natus Medical Incorporated),ヘルスケア,Nasdaq
NTWK,ネットソル・テクノロジーズ (NetSol Technologies Inc),情報技術,Nasdaq
NUAN,ニュアンス・コミュニケーションズ (Nuance Communications Inc),情報技術,Nasdaq
NUE,ニューコア (Nucor Corp.),素材,S&P500
NUGT,Direxion Daily Gold Miners Index Bull 2X Shares (Direxion Daily Gold Miners Index Bull 2X Shares),,
NUS,ニュースキン・エンタープライズ クラスA (Nu Skin Enterprises Inc),生活必需品,NYSE
NUVA,ニューベイシブ (NuVasive Inc),ヘルスケア,Nasdaq
NVAX,ノババックス (Novavax Inc),ヘルスケア,Nasdaq
NVCN,ネオバスク (Neovasc Inc),ヘルスケア,Nasdaq
NVCR,ノボキュア (NovoCure Limited),ヘルスケア,Nasdaq
NVDA,エヌビディア (Nvidia Corporation),情報技術,Nasdaq S&P500
NVEC,エヌブイイー (NVE Corporation),情報技術,Nasdaq
NVEE,ＮＶ５ホールディングス (NV5 Global Inc),資本財,Nasdaq
NVGS,ナビゲーター・ホールディングス (Navigator Holdings Ltd),資本財,NYSE
NVIV,インビボ・セラピューティクス・ホールディングス (InVivo Therapeutics Holdings Corp),ヘルスケア,Nasdaq
NVMI,ノバ・メジャリング・インストゥルメンツ (Nova Measuring Instruments Ltd),情報技術,Nasdaq
NVO,ノボ・ノルディスク (Novo Nordisk A/S),ヘルスケア,NYSE
NVR,"エヌブイアール (NVR, Inc.)",一般消費財,NYSE
NVRO,ネブロ (Nevro Corp),ヘルスケア,NYSE
NVS,ノバルティス (Novartis AG),ヘルスケア,NYSE
NVST,EnvistaHoldingsCorp (Envista Holdings Corporation),ヘルスケア,NYSE
NVT,エンベント・エレクトリック (nVent Electric plc),情報技術,NYSE
NVTA,インビテ (Invitae Corporation),ヘルスケア,NYSE
NVUS,ノーヴァス・セラピューティクス (Novus Therapeutics Inc),ヘルスケア,Nasdaq
NWBI,"ノースウェスト・バンクシェアーズ (Northwest Bancshares, Inc)",金融,Nasdaq
NWE,ノースウェスタン (NorthWestern Corporation),公益事業,NYSE
